
OPERATION-1, Week-1, Week-2, Week-3, Week-4, Week-5, Week-6

City 1, Troop-1:C- Cap. Kareem Jamil, Troop-3:A- Cap. Aamir Shahid, Troop-4:A- Maj. Ali, Troop-13:A- MGen. Jahangir Butt, Troop-14:A- Maj. Uzair Naqvi, Troop-5:A- Cap. Alamgir Haq
City 2, Troop-5:C- Maj. Ali, Troop-6:B- Brig. Razi Baig, Troop-6:C- Brig. Iftikhar Syed, Troop-8:B- Brig. Gibran Shairwany, Troop-10:A- MGen. Firdous Ghauri, Troop-11:C- MGen. Raheel Kamal
City 3, Troop-44:B- Lt.Gen. Allama Malik, Troop-37:D- Cap. Hafiz Omar, Troop-11:D- MGen. Nasir Ghauri, Troop-12:A- Brig. Cheema , Troop-50:C- MGen. Mubarik, Troop-12:B- Brig. Uzair Azmat
City 4, Troop-12:D- MGen. Raheel Kamal, Troop-31:B- Maj. Anthony David , Troop-13:C- Cap. M. Sajid, Troop-14:B- Brig. Gibran Shairwany, Troop-16:B- Maj. Naeem Bhatti, Troop-17:B- Lt.Gen. Ahmad Bin Rasool 
City 5, Troop-17:C- Lt.Gen. Qureshi, Troop-18:B- Cap. Hafiz Omar, Troop-19:B- Maj. Naeem Bhatti, Troop-19:D- Brig. Alvi Bakht, Troop-47:C- Lt.Gen. Khan Saeed, Troop-20:B- Maj. Ali Akram
City 6, Troop-20:C- Brig. Saad Javed, Troop-32:D- Lt.Gen. Ali Akhtar , Troop-20:D- Lt.Gen. Riaz Ullah, Troop-21:A- Cap. Younas Sheikh, Troop-21:B- Maj. Umar Niaz, Troop-22:B- Lt.Gen. Khan Saeed
City 7, Troop-22:D- Lt.Gen. Omar Fayyaz, Troop-41:C- Maj. Manan Rasheed , Troop-37:B- MGen. Raheel Kamal, Troop-23:B- Maj. Waqar Adil, Troop-48:B- Maj. Uzair Naqvi, Troop-24:A- Brig. Ali Ahmad
City 8, Troop-24:D- Brig. Hayat Cheema, Troop-50:B- MGen. Jahangir Butt, Troop-26:B- Lt.Gen. Bashir Azmat, Troop-26:D- Maj. Hadi Ikram, Troop-32:B- Maj. Manan Rasheed , Troop-31:D- MGen. Jamal Husain
City 9, Troop-28:A- Lt.Gen. Fawad Jaffar, Troop-28:B- Maj. Mammona Qudsia, Troop-30:C- Lt.Gen. Fawad Jaffar, Troop-28:D- Cap. Ali Mahmood, Troop-29:C- MGen. Firdous Ghauri, Troop-30:B- Brig. Gibran Shairwany
City 10, Troop-30:D- Brig. Cheema , Troop-36:D- Maj. Waseem Hassan, Troop-28:C- Lt.Gen. Raza-ul-Haq, Troop-10:B- Cap. Kareem Jamil, Troop-31:C- MGen. Jahangir Butt, Troop-14:D- Cap. Alamgir Haq
City 11, Troop-5:B- MGen. Waris Babar, Troop-32:A- Maj. Azeem Sami, Troop-8:D- MGen. Jahangir Butt, Troop-21:C- Lt.Gen. Fawad Jaffar, Troop-27:C- Brig. Hayat Cheema, Troop-34:D- Brig. Cheema 
City 12, Troop-35:B- Brig. Uzair Azmat, Troop-16:D- Brig. Alvi Bakht, Troop-6:D- Maj. Uzair Nawaz Khan, Troop-42:D- MGen. Waris Babar, Troop-36:B- Brig. Uzair Azmat, Troop-9:A- Brig. Iftikhar Syed
City 13, Troop-11:A- Maj. Uzair Nawaz Khan, Troop-2:D- Lt.Gen. Omar Fayyaz, Troop-46:A- Cap. Younas Sheikh, Troop-38:D- Maj. Mammona Qudsia, Troop-37:A- Maj. Naz Khan, Troop-25:B- Brig. Iftikhar Syed
City 14, Troop-27:B- Maj. Anthony David , Troop-29:B- MGen. Jahangir Butt, Troop-37:C- Cap. Aamir Shahid, Troop-22:A- Maj. Mammona Qudsia, Troop-4:C- Brig. Hayat Cheema, Troop-20:A- Brig. Ali Ahmad
City 15, Troop-14:C- Brig. Jamshaid Tariq, Troop-38:A- Cap. Alamgir Haq, Troop-39:A- MGen. Jamal Husain, Troop-40:A- Brig. Alvi Bakht, Troop-40:B- Maj. Hadi Ikram, Troop-41:A- Maj. Yasir Dar
